station_id,latitude (degrees north),longitude (degrees east),date_time,air_temperature (C°),sea_level_pressure (hPa),wind_speed (m/s),gust_speed (m/s),significant_wave_height (m),dominant_wave_period (s),sea_surface_temperature (C°),wind_speed_cwind (m/s)
2868187,47.34899902,-124.7080002,2013-04-24 19:50:00+00:00,10.80000019,1024.699951,3.0,4.0,1.100000024,8.0,11.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-24 20:50:00+00:00,11.0,1023.900024,4.0,5.0,1.0,7.0,11.30000019,4.800000191
2868187,47.34899902,-124.7080002,2013-04-24 21:50:00+00:00,11.19999981,1023.200012,5.0,7.0,1.0,8.0,11.19999981,4.800000191
2868187,47.34899902,-124.7080002,2013-04-24 22:50:00+00:00,11.19999981,1022.5,6.0,7.0,0.899999976,7.0,11.19999981,4.800000191
2868187,47.34899902,-124.7080002,2013-04-24 23:50:00+00:00,11.69999981,1021.700012,7.0,8.0,0.899999976,7.0,11.10000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 00:50:00+00:00,11.10000038,1020.799988,8.0,10.0,0.899999976,10.0,10.80000019,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 01:50:00+00:00,10.80000019,1020.5,6.0,7.0,0.899999976,11.0,10.80000019,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 02:50:00+00:00,10.60000038,1019.799988,9.0,10.0,0.800000012,11.0,10.60000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 03:50:00+00:00,10.39999962,1019.5,7.0,9.0,0.800000012,10.0,10.30000019,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 04:50:00+00:00,10.10000038,1019.400024,9.0,10.0,1.0,11.0,10.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 05:50:00+00:00,10.0,1019.200012,8.0,10.0,0.899999976,6.0,10.19999981,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 06:50:00+00:00,10.0,1018.900024,8.0,9.0,0.899999976,6.0,10.19999981,4.800000191
2868187,47.34899902,-124.7080002,2013-04-25 07:50:00+00:00,10.10000038,1018.700012,7.0,9.0,0.899999976,4.0,10.19999981,4.800000191
